School	Rank	Tier	Retention	Grad.rate	Pct.20	Pct.50	Full.time	Top.10	Accept.rate	Alumni.giving
Southern Mississippi	NA	4	74	44	49	10	92	20	55	13
Texas - Arlington	NA	4	63	38	28	24	88	19	76	3
Texas - El Paso	NA	4	69	31	36	11	82	19	99	6
Toledo	NA	4	69	46	33	10	88	14	92	6
West Florida	NA	4	74	44	31	8	91	16	69	5
Wisconsin - Milwaukee	NA	4	71	42	36	15	84	8	79	6
Wayne State	NA	4	70	34	49	9	76	NA	79	5
Wichita State	NA	4	69	39	46	12	97	20	86	8
Wright State	NA	4	70	42	39	9	99	14	86	4
Union Institute	NA	NA	71	38	NA	NA	50	NA	NA	NA
Wilmington	NA	NA	67	42	76	0	22	NA	97	NA
